zipcode,order,sigma2
02111,"(4, 0, 3)",0.00012136552007361341
02113,"(2, 0, 2)",0.00020739443993542176
02114,"(1, 0, 2)",8.429491428046276e-05
02115,"(1, 0, 2)",5.838120008052379e-05
02116,"(1, 0, 3)",7.63938076387013e-05
02118,"(2, 0, 3)",7.679949591567096e-05
02125,"(1, 0, 2)",0.00015233859515977974
02127,"(1, 0, 3)",6.487531646481446e-05
02128,"(2, 0, 3)",0.00010222285211099736
02129,"(1, 0, 2)",0.00013484390723036234
02130,"(2, 0, 2)",0.0001032225144015705
02134,"(0, 0, 4)",6.594455362864642e-05
02135,"(2, 0, 2)",4.5399883839017074e-05
02138,"(2, 0, 2)",7.416912578890074e-05
02139,"(1, 0, 2)",0.00010775578549134494
02140,"(1, 0, 4)",0.00011011242183843364
02141,"(0, 0, 3)",0.00018606002925312872
02143,"(3, 0, 0)",0.00012840916561144682
02144,"(2, 0, 2)",0.00012828508268461033
02145,"(4, 0, 4)",9.875117446747641e-05
02148,"(2, 0, 2)",7.242963245194571e-05
02155,"(3, 0, 4)",5.710978079286369e-05
02169,"(2, 0, 4)",4.5552353989665834e-05
02215,"(0, 0, 3)",5.0276505524223554e-05
02445,"(1, 0, 0)",0.00021507250862728253
02446,"(2, 0, 3)",4.905763613308545e-05
02453,"(3, 0, 2)",0.00012195510261893476
02472,"(1, 0, 3)",7.171272066922049e-05
02840,"(2, 0, 2)",0.0003781533908332608
02906,"(1, 0, 2)",7.136980313387123e-05
06460,"(1, 0, 3)",9.270733134152643e-05
06511,"(2, 0, 2)",7.902759589475294e-05
06902,"(2, 0, 2)",7.671330939373053e-05
07002,"(0, 0, 3)",6.664367322534924e-05
07024,"(1, 0, 3)",8.038887290752522e-05
07030,"(0, 0, 2)",2.3610555931581612e-05
07047,"(0, 0, 0)",0.00014869479808939047
07087,"(0, 0, 0)",8.609062890141032e-05
07093,"(2, 0, 2)",3.2624367562059414e-05
07302,"(2, 0, 2)",3.3977492111575756e-05
07305,"(2, 0, 2)",5.941188422230486e-05
07306,"(1, 0, 2)",4.9184197815247766e-05
07307,"(0, 0, 3)",6.221203239191647e-05
08540,"(3, 0, 4)",4.5929640397059824e-05
10001,"(2, 0, 4)",5.0563684024851196e-05
10002,"(2, 0, 2)",3.662460834221272e-05
10003,"(2, 0, 2)",3.567649300768412e-05
10005,"(1, 0, 4)",9.004402623734763e-05
10006,"(0, 0, 2)",0.0001336028415167801
10010,"(2, 0, 4)",4.746633281173075e-05
10011,"(2, 0, 2)",2.9721248449191584e-05
10012,"(2, 0, 2)",6.418083251160617e-05
10013,"(0, 0, 2)",6.881477371745277e-05
10014,"(2, 0, 2)",3.840458058629933e-05
10017,"(2, 0, 2)",4.1205579026045795e-05
10018,"(1, 0, 2)",0.00011327610316996529
10019,"(1, 0, 3)",3.595733146552213e-05
10021,"(2, 0, 3)",4.399193167955291e-05
10022,"(1, 0, 0)",4.893458954139113e-05
10023,"(2, 0, 2)",3.434462066497811e-05
10024,"(2, 0, 2)",3.523829196763721e-05
10025,"(3, 0, 0)",3.2888883009287204e-05
10026,"(2, 0, 2)",7.56052212972506e-05
10027,"(1, 0, 2)",6.90576612522115e-05
10028,"(3, 0, 4)",2.2328758833006103e-05
10029,"(1, 0, 0)",7.65071708146449e-05
10030,"(2, 0, 2)",9.077127309877728e-05
10031,"(2, 0, 2)",6.167264239622716e-05
10032,"(1, 0, 2)",6.360991604679652e-05
10033,"(3, 0, 3)",4.856307518698203e-05
10035,"(1, 0, 2)",7.454925083514592e-05
10036,"(2, 0, 4)",4.6592596278471264e-05
10038,"(2, 0, 2)",9.47026103389856e-05
10040,"(3, 0, 0)",8.59872437448972e-05
10065,"(1, 0, 0)",6.334055894795963e-05
